09-02 17:55:37:077    encoder1_count:27
09-02 17:55:37:091    encoder1_count:27
09-02 17:55:37:107    encoder1_count:28
09-02 17:55:37:131    encoder1_count:28
09-02 17:55:37:132    encoder1_count:28
09-02 17:55:37:139    encoder1_count:28
09-02 17:55:37:141    encoder1_count:28
09-02 17:55:37:155    encoder1_count:28
09-02 17:55:37:172    encoder1_count:28
09-02 17:55:37:173    encoder1_count:28
09-02 17:55:37:187    encoder1_count:28
09-02 17:55:37:203    encoder1_count:28
09-02 17:55:37:205    encoder1_count:28
09-02 17:55:37:219    encoder1_count:28
09-02 17:55:37:235    encoder1_count:28
09-02 17:55:37:237    encoder1_count:28
09-02 17:55:37:251    encoder1_count:28
09-02 17:55:37:267    encoder1_count:28
09-02 17:55:37:269    encoder1_count:28
09-02 17:55:37:284    encoder1_count:28
09-02 17:55:37:299    encoder1_count:28
09-02 17:55:37:301    encoder1_count:28
09-02 17:55:37:315    encoder1_count:28
09-02 17:55:37:332    encoder1_count:28
09-02 17:55:37:358    encoder1_count:28
09-02 17:55:37:361    encoder1_count:28
09-02 17:55:37:363    encoder1_count:28
09-02 17:55:37:365    encoder1_count:28
09-02 17:55:37:379    encoder1_count:28
09-02 17:55:37:395    encoder1_count:28
09-02 17:55:37:397    encoder1_count:28
09-02 17:55:37:411    encoder1_count:28
09-02 17:55:37:428    encoder1_count:28
09-02 17:55:37:430    encoder1_count:28
09-02 17:55:37:444    encoder1_count:28
09-02 17:55:37:460    encoder1_count:28
09-02 17:55:37:461    encoder1_count:28
09-02 17:55:37:475    encoder1_count:28
09-02 17:55:37:492    encoder1_count:28
09-02 17:55:37:495    encoder1_count:28
09-02 17:55:37:507    encoder1_count:28
09-02 17:55:37:523    encoder1_count:28
09-02 17:55:37:525    encoder1_count:28
09-02 17:55:37:539    encoder1_count:28
09-02 17:55:37:555    encoder1_count:28
09-02 17:55:37:588    encoder1_count:28
09-02 17:55:37:588    encoder1_count:28
09-02 17:55:37:589    encoder1_count:28
09-02 17:55:37:589    encoder1_count:28
09-02 17:55:37:603    encoder1_count:28
09-02 17:55:37:620    encoder1_count:28
